,sales_small.ProductID,sales_small.WeekKey,sales_small.Channel,sales_small.Country,sales_small.CSP,sales_small.SalesVolume,sales_small.TotalStockVolume,sales_small.StoreStockVolume,sales_small.DepotStockVolume,sales_small.FutureCommitmentVolume,sales_small.IntakeVolume,sales_small.StoresWithStockCount,sales_small.StoresWithSalesCount,price_change_tw,price_change_before,products.Season,products.Group,products.SubGroup,products.Class,products.SubClass,sales_small.SalesVolume_nw,price_change_nw,season_nw
181,e58aa2c5,201503,Stores,A,19.209,2,1,1,0,0,0,0.0155,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
182,e58aa2c5,201503,Stores,B,17.183,26,30,15,3,12,0,0.4469,0.1283,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,29.0,0.0,Spring
187,ec75763b,201503,Online,B,15.383,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,1.0,0.0,Spring
191,f6795143,201503,Stores,B,27.986,3,18,5,8,6,-1,0.1321,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,5.0,0.0,Spring
213,2729a59e,201504,Stores,B,14.482999999999999,11,130,9,19,85,17,0.2371,0.0466,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,13.0,0.0,Spring
225,34cd83e4,201504,Stores,A,18.084,8,11,11,0,0,0,0.2915,0.0466,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,12.0,0.0,Spring
261,50eb65e5,201504,Stores,B,15.383,8,11,8,4,0,-1,0.2254,0.0428,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,9.0,0.0,Spring
265,57d319d8,201504,Online,B,12.232000000000001,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,2.0,0.0,Spring
356,cdb5d01e,201504,Stores,A,18.084,6,4,4,0,0,0,0.07,0.0194,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,9.0,0.0,Spring
357,cdb5d01e,201504,Stores,B,16.283,69,158,60,35,28,35,0.6102,0.2487,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,92.0,0.0,Spring
376,e58aa2c5,201504,Stores,A,19.209,2,0,0,0,0,0,0.0,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,3.0,0.0,Spring
377,e58aa2c5,201504,Stores,B,17.183,29,27,12,3,12,0,0.4236,0.1477,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,28.0,0.0,Spring
386,ec75763b,201504,Online,B,15.383,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
391,eda443ea,201504,Stores,B,13.583,0,161,0,121,40,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,43.0,0.0,Spring
392,f0df2047,201504,Online,B,12.007,4,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,7.0,0.0,Spring
394,f6795143,201504,Stores,B,27.986,5,17,5,7,6,-1,0.1321,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,4.0,0.0,Spring
422,2729a59e,201505,Stores,B,14.482999999999999,13,113,11,16,85,1,0.2449,0.0466,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,16.0,0.0,Spring
435,34cd83e4,201505,Stores,A,18.084,12,10,10,0,0,0,0.2837,0.0622,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,8.0,0.0,Spring
472,50eb65e5,201505,Stores,B,15.383,9,9,8,2,0,-1,0.2332,0.0505,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,9.0,0.0,Spring
476,57d319d8,201505,Online,B,12.232000000000001,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,3.0,0.0,Spring
477,59c9347e,201505,Stores,A,16.958,2,6,6,0,0,0,0.1205,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,9.0,0.0,Spring
478,59c9347e,201505,Stores,B,15.383,76,165,79,86,0,0,0.7773,0.2954,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,157.0,0.0,Spring
489,5c8a468e,201505,Stores,B,15.383,0,55,0,55,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,13105152,3df8175a,0.0,0.0,Spring
578,bd24b89e,201505,Stores,A,15.833,3,3,3,0,0,0,0.07,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,9.0,0.0,Spring
579,bd24b89e,201505,Stores,B,14.482999999999999,57,239,57,25,157,0,0.61795,0.1788,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,121.0,0.0,Spring
598,cdb5d01e,201505,Stores,A,18.084,9,3,3,0,0,0,0.0661,0.0272,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,7.0,0.0,Spring
599,cdb5d01e,201505,Stores,B,16.283,92,139,63,49,0,27,0.6102,0.3109,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,97.0,0.0,Spring
620,e58aa2c5,201505,Stores,A,19.209,3,1,1,0,0,0,0.0194,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,3.0,0.0,Spring
621,e58aa2c5,201505,Stores,B,17.183,28,34,12,10,0,12,0.4197,0.1477,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,40.0,0.0,Spring
630,ec75763b,201505,Online,B,15.383,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
635,eda443ea,201505,Stores,A,14.482999999999999,0,6,6,0,0,0,0.1205,0.0,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,10.0,0.0,Spring
636,eda443ea,201505,Stores,B,13.583,43,229,95,54,40,40,0.77145,0.1943,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,158.0,0.0,Spring
637,f0df2047,201505,Online,B,12.007,7,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,12.0,0.0,Spring
640,f6795143,201505,Stores,B,27.986,4,17,6,5,6,0,0.1399,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,3.0,0.0,Spring
669,1e70cdb4,201506,Stores,B,13.583,10,322,62,68,192,0,0.68985,0.0389,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,49.0,0.0,Spring
676,2729a59e,201506,Stores,A,15.833,0,0,0,0,0,0,0.0,0.0,1.1249999999999982,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,0.0,0.0,Spring
677,2729a59e,201506,Stores,B,14.482999999999999,16,111,11,15,85,0,0.24100000000000002,0.0622,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,17.0,0.0,Spring
690,34cd83e4,201506,Stores,A,18.084,8,11,11,0,0,0,0.2915,0.0466,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,6.0,0.0,Spring
729,50eb65e5,201506,Stores,B,15.383,9,10,9,1,0,0,0.2293,0.0505,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,9.0,0.0,Spring
733,57d319d8,201506,Online,B,12.232000000000001,3,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,2.0,0.0,Spring
734,59c9347e,201506,Online,B,15.383,3,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,2.0,0.0,Spring
735,59c9347e,201506,Stores,A,16.958,9,5,5,0,0,0,0.1244,0.035,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,6.0,0.0,Spring
736,59c9347e,201506,Stores,B,15.383,157,147,71,76,0,0,0.7773,0.5402,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,122.0,0.0,Spring
748,5c8a468e,201506,Stores,B,15.383,0,55,0,55,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,13105152,3df8175a,0.0,0.0,Spring
851,bd24b89e,201506,Stores,A,15.833,9,3,3,0,0,0,0.0777,0.035,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,6.0,0.0,Spring
852,bd24b89e,201506,Stores,B,14.482999999999999,121,271,57,58,108,48,0.6199,0.3381,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,94.0,0.0,Spring
871,cdb5d01e,201506,Stores,A,18.084,7,3,3,0,0,0,0.0738,0.0311,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,6.0,0.0,Spring
872,cdb5d01e,201506,Stores,B,16.283,97,101,60,41,0,0,0.61405,0.4314,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,82.0,0.0,Spring
897,e58aa2c5,201506,Stores,A,19.209,3,1,1,0,0,0,0.0194,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
898,e58aa2c5,201506,Stores,B,17.183,40,20,17,3,0,0,0.4547,0.1904,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,28.0,0.0,Spring
908,ec75763b,201506,Online,B,15.383,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,1.0,0.0,Spring
913,eda443ea,201506,Stores,A,14.482999999999999,10,6,6,0,0,0,0.1205,0.0389,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,8.0,0.0,Spring
914,eda443ea,201506,Stores,B,13.583,158,132,83,48,0,1,0.77925,0.5597,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,127.0,0.0,Spring
916,f0df2047,201506,Online,B,12.007,12,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,10.0,0.0,Spring
917,f236c80a,201506,Stores,B,12.232000000000001,2,107,11,12,50,34,0.2138,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,50d24518,32.0,0.0,Spring
921,f6795143,201506,Stores,B,27.986,3,21,7,9,0,5,0.1399,0.0155,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,3.0,0.0,Spring
959,1e70cdb4,201507,Stores,A,14.482999999999999,3,8,8,0,0,0,0.1749,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,5.0,0.0,Spring
960,1e70cdb4,201507,Stores,B,13.583,49,310,77,42,192,-1,0.80645,0.2021,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,71.0,0.0,Spring
963,219eacd6,201507,Stores,A,15.833,0,13,13,0,0,0,0.2915,0.0,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,18.0,0.0,Spring
964,219eacd6,201507,Stores,B,14.482999999999999,10,558,60,87,236,175,0.6879,0.0389,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,96.0,0.0,Spring
971,2729a59e,201507,Stores,A,15.833,0,0,0,0,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,0.0,0.0,Spring
972,2729a59e,201507,Stores,B,14.482999999999999,17,109,11,13,85,0,0.2565,0.07,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,15.0,0.0,Spring
986,34cd83e4,201507,Stores,A,18.084,6,11,11,0,0,0,0.2915,0.035,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,6.0,0.0,Spring
991,360076a3,201507,Stores,B,14.482999999999999,4,80,15,13,21,31,0.41200000000000003,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,21.0,0.0,Spring
1029,4e090ddf,201507,Stores,B,13.583,2,5,3,2,0,0,0.0544,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,4.0,0.0,Spring
1031,50eb65e5,201507,Stores,B,15.383,9,9,8,1,0,0,0.2176,0.0505,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,9.0,0.0,Spring
1036,57d319d8,201507,Online,B,12.232000000000001,2,0,0,0,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,2.0,0.0,Spring
1037,59c9347e,201507,Online,B,15.383,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,3.0,0.0,Spring
1038,59c9347e,201507,Stores,A,16.958,6,5,5,0,0,0,0.1283,0.0272,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,7.0,0.0,Spring
1039,59c9347e,201507,Stores,B,15.383,122,135,66,69,0,0,0.7773,0.4586,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,97.0,0.0,Spring
1052,5c8a468e,201507,Stores,B,15.383,0,55,0,55,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,13105152,3df8175a,0.0,0.0,Spring
1080,78838610,201507,Stores,B,15.383,0,39,0,22,0,17,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,22.0,0.0,Spring
1150,ae5e3b78,201507,Online,B,16.733,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,b5ae3139,b5ae3139,b5ae3139,1.0,0.0,Spring
1180,bd24b89e,201507,Stores,A,15.833,6,3,3,0,0,0,0.0816,0.0272,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,8.0,0.0,Spring
1181,bd24b89e,201507,Stores,B,14.482999999999999,94,258,64,86,63,45,0.6238,0.2721,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,100.0,0.0,Spring
1182,be310af2,201507,Stores,B,12.683,3,51,16,8,0,27,0.3731,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,50d24518,23.0,0.0,Spring
1183,be63f01,201507,Stores,B,13.133,0,28,1,11,0,16,0.0194,0.0,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,4.0,0.0,Spring
1203,cdb5d01e,201507,Stores,A,18.084,6,3,3,0,0,0,0.0738,0.0194,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,5.0,0.0,Spring
1204,cdb5d01e,201507,Stores,B,16.283,82,92,57,35,0,0,0.61215,0.3653,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,75.0,0.0,Spring
1226,e05995be,201507,Stores,A,14.482999999999999,0,1,1,0,0,0,0.0428,0.0,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,3.0,0.0,Spring
1227,e05995be,201507,Stores,B,13.583,32,95,25,19,50,1,0.8434,0.10099999999999999,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,63.0,0.0,Spring
1233,e58aa2c5,201507,Stores,A,19.209,2,1,1,0,0,0,0.0194,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,3.0,0.0,Spring
1234,e58aa2c5,201507,Stores,B,17.183,28,15,15,0,0,0,0.4275,0.1555,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,23.0,0.0,Spring
1246,ec75763b,201507,Online,B,15.383,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
1251,eda443ea,201507,Stores,A,14.482999999999999,8,5,5,0,0,0,0.1205,0.035,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,6.0,0.0,Spring
1252,eda443ea,201507,Stores,B,13.583,127,118,86,32,0,0,0.7851,0.4897,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,116.0,0.0,Spring
1256,f0df2047,201507,Online,B,12.007,10,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,6.0,0.0,Spring
1257,f236c80a,201507,Stores,A,12.908,2,1,1,0,0,0,0.0194,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,50d24518,2.0,0.0,Spring
1258,f236c80a,201507,Stores,B,12.232000000000001,32,79,18,11,50,0,0.4197,0.1244,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,50d24518,32.0,0.0,Spring
1263,f6795143,201507,Stores,B,27.986,3,14,8,6,0,0,0.1749,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,3.0,0.0,Spring
1309,1e70cdb4,201508,Stores,A,14.482999999999999,5,10,10,0,0,0,0.2254,0.0194,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,5.0,0.0,Spring
1310,1e70cdb4,201508,Stores,B,13.583,71,332,90,50,167,25,0.90945,0.3381,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,71.0,0.0,Spring
1313,219eacd6,201508,Stores,A,15.833,18,11,11,0,0,0,0.2954,0.0777,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,18.0,0.0,Spring
1314,219eacd6,201508,Stores,B,14.482999999999999,96,387,77,75,236,-1,0.98525,0.3887,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,106.0,0.0,Spring
1318,22fa92e5,201508,Stores,A,16.958,0,1,1,0,0,0,0.0428,0.0,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,3.0,0.0,Spring
1319,22fa92e5,201508,Stores,B,15.383,22,109,26,53,30,0,0.8356,0.0738,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,33.0,0.0,Spring
1324,2729a59e,201508,Stores,A,15.833,0,0,0,0,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,0.0,0.0,Spring
1325,2729a59e,201508,Stores,B,14.482999999999999,15,108,11,11,85,1,0.2682,0.0583,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,15.0,0.0,Spring
1339,34cd83e4,201508,Stores,A,18.084,6,11,11,0,0,0,0.2915,0.035,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,5.0,0.0,Spring
1344,360076a3,201508,Online,B,14.482999999999999,2,3,0,3,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,3.0,0.0,Spring
1345,360076a3,201508,Stores,A,15.833,0,1,1,0,0,0,0.0155,0.0,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,3.0,0.0,Spring
1346,360076a3,201508,Stores,B,14.482999999999999,21,46,14,11,21,0,0.4314,0.0661,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,25.0,0.0,Spring
1347,37cad3a4,201508,Stores,B,16.733,2,52,17,11,24,0,0.3342,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,c494ac16,1d455ef5,31.0,0.0,Spring
1360,3c3f7db5,201508,Online,B,18.984,2,3,0,3,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,5.0,0.0,Spring
1361,3c3f7db5,201508,Stores,B,18.984,6,40,9,8,24,-1,0.20600000000000002,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,7.0,0.0,Spring
1392,4e090ddf,201508,Stores,B,13.583,4,5,3,2,0,0,0.0583,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,4.0,0.0,Spring
1394,50eb65e5,201508,Stores,B,15.383,9,8,7,1,0,0,0.2176,0.0428,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,8.0,0.0,Spring
1401,57d319d8,201508,Online,B,12.232000000000001,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,2.0,0.0,Spring
1403,59c9347e,201508,Online,B,15.383,3,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,2.0,0.0,Spring
1404,59c9347e,201508,Stores,A,16.958,7,5,5,0,0,0,0.1283,0.0311,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,6.0,0.0,Spring
1405,59c9347e,201508,Stores,B,15.383,97,125,62,63,0,0,0.7734,0.4469,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,8a05472,97.0,0.0,Spring
1419,5c8a468e,201508,Stores,B,15.383,0,55,0,55,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,13105152,3df8175a,0.0,0.0,Spring
1450,76786b3b,201508,Online,B,17.183,2,3,0,3,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
1451,76786b3b,201508,Stores,A,19.209,0,1,1,0,0,0,0.0155,0.0,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
1452,76786b3b,201508,Stores,B,17.183,15,160,18,102,0,40,0.4431,0.07,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,20.0,0.0,Spring
1453,78838610,201508,Online,B,15.383,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
1454,78838610,201508,Stores,A,16.958,2,1,1,0,0,0,0.0155,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,0.0,0.0,Spring
1455,78838610,201508,Stores,B,15.383,22,26,15,11,0,0,0.4547,0.10099999999999999,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,29.0,0.0,Spring
1544,ae5e3b78,201508,Online,B,16.733,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,b5ae3139,b5ae3139,b5ae3139,1.0,0.0,Spring
1578,bd24b89e,201508,Stores,A,15.833,8,3,3,0,0,0,0.0777,0.0272,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,7.0,0.0,Spring
1579,bd24b89e,201508,Stores,B,14.482999999999999,100,204,66,75,63,0,0.62575,0.3498,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,87.0,0.0,Spring
1581,be310af2,201508,Stores,A,13.357999999999999,0,1,1,0,0,0,0.0233,0.0,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,50d24518,2.0,0.0,Spring
1582,be310af2,201508,Stores,B,12.683,23,22,16,6,0,0,0.4236,0.0972,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,50d24518,20.0,0.0,Spring
1583,be63f01,201508,Online,B,13.133,3,3,0,3,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,5.0,0.0,Spring
1584,be63f01,201508,Stores,B,13.133,4,13,2,11,0,0,0.0661,0.0117,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,4.0,0.0,Spring
1606,cdb5d01e,201508,Stores,A,18.084,5,3,3,0,0,0,0.0738,0.0155,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,8.0,0.0,Spring
1607,cdb5d01e,201508,Stores,B,16.283,75,84,54,30,0,0,0.61215,0.3459,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,87.0,0.0,Spring
1631,e05995be,201508,Online,B,13.583,3,3,0,3,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,5.0,0.0,Spring
1632,e05995be,201508,Stores,A,14.482999999999999,3,1,1,0,0,0,0.0428,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,3.0,0.0,Spring
1633,e05995be,201508,Stores,B,13.583,63,88,26,12,50,0,0.8239,0.2176,0.0,0.0,L,edf80f3a,edf80f3a,c702f6b0,c6aeef0b,51.0,0.0,Spring
1639,e58aa2c5,201508,Stores,A,19.209,3,0,0,0,0,0,0.0,0.0078,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
1640,e58aa2c5,201508,Stores,B,17.183,23,12,12,0,0,0,0.4081,0.1166,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,16.0,0.0,Spring
1649,ea11be7a,201508,Online,B,36.986999999999995,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,b5ae3139,b5ae3139,b5ae3139,1.0,0.0,Spring
1655,ec75763b,201508,Online,B,15.383,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,2.0,0.0,Spring
1656,ec75763b,201508,Stores,A,16.958,0,0,0,0,0,0,0.0,0.0,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,0.0,0.0,Spring
1661,eda443ea,201508,Stores,A,14.482999999999999,6,5,5,0,0,0,0.1205,0.0272,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,6.0,0.0,Spring
1662,eda443ea,201508,Stores,B,13.583,116,106,78,28,0,0,0.7812,0.5363,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,ef307285,96.0,0.0,Spring
